fuel_type,body_type,km_driven,owner,price,manufacturing_year,link,features,oem,model,registration_year,Mileage,Seats,transmission,variantName,City
Petrol,Hatchback,80000,Third Owner,249000,2009,https://www.cardekho.com/used-car-details/used-Hyundai-I10-Sportz-1.2-cars-Bangalore_f52e81df-5881-41f4-9b80-ee0501d3caa2.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Day Night Rear View Mirror, Cd Player",Hyundai,Hyundai i10,2009,20.36,5,Manual,Sportz 1.2,Bangalore
Petrol,Hatchback,110000,Third Owner,300000,2012,https://www.cardekho.com/used-car-details/used-Hyundai-I20-1.2-Sportz-cars-Bangalore_04de1ba3-11eb-46d8-a280-5b17aa8d68f0.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",Hyundai,Hyundai i20,2012,17,5,Manual,1.2 Sportz,Bangalore
Petrol,Hatchback,30000,First Owner,500000,2018,https://www.cardekho.com/used-car-details/used-Ford-Figo-1.2p-Titanium-Opt-Mt-cars-Bangalore_87c3c947-8ac0-4549-b29e-79d1bbd17893.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Ford,Ford Figo,2018,18.16,5,Manual,1.2P Titanium Opt MT,Bangalore
Diesel,SUV,50000,First Owner,1260000,2016,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-1.6-Crdi-Sx-Plus-cars-Bangalore_ae0a36da-67a7-41f7-9715-c5bf4658e90d.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai Creta,2016,19.67,5,Manual,1.6 CRDi SX Plus,Bangalore
Petrol,Hatchback,90000,Second Owner,300000,2010,https://www.cardekho.com/used-car-details/used-Hyundai-I10-Magna-cars-Bangalore_589f4395-83a5-4a25-9f40-776f975d1496.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Power Antenna, Centeral Locking, Day Night Rear View Mirror",Hyundai,Hyundai i10,2010,20.36,5,Manual,Magna,Bangalore
Diesel,SUV,70000,Second Owner,3981000,2016,https://www.cardekho.com/used-car-details/used-Bmw-X5-Xdrive-30d-M-Sport-cars-Bangalore_80984afb-ad34-443f-9e5b-665e598d629c.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",BMW,BMW X5,2016,15.97,5,Automatic,xDrive 30d M Sport,Bangalore
Diesel,Sedan,70000,Second Owner,1300000,2010,https://www.cardekho.com/used-car-details/used-Bmw-3-Series-320d-Highline-cars-Bangalore_e2e64cb6-5735-4346-a201-a16a529f06cb.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",BMW,BMW 3 Series,2010,16.07,5,Automatic,320d Highline,Bangalore
Diesel,SUV,80000,Second Owner,3500000,2021,https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-2.8-2wd-Mt-cars-Bangalore_7caf6437-bee5-4da5-85ad-39f3062a6606.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Dvd Player",Toyota,Toyota Fortuner,2021,14.24,7,Manual,2.8 2WD MT,Bangalore
Diesel,SUV,70000,Second Owner,1460000,2019,https://www.cardekho.com/used-car-details/used-Tata-Harrier-Xz-Bsiv-cars-Bangalore_562d967d-f19c-40ef-b484-15af9ba0d50c.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Tata,Tata Harrier,2019,17,5,Manual,XZ BSIV,Bangalore
Diesel,SUV,60000,Second Owner,650000,2014,https://www.cardekho.com/used-car-details/used-Nissan-Terrano-Xv-Premium-110-Ps-cars-Bangalore_6970a0b1-feb9-4b39-a89d-ef2363138209.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Nissan,Nissan Terrano,2014,19.01,5,Manual,XV Premium 110 PS,Bangalore
